timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2022-04-30T00:00:00.000Z";"2022-04-30T23:59:59.999Z";"2022-04-30T13:33:00.000Z";"2022-04-30T23:13:00.000Z";"2781";100.3787529887;101.4112257466;95.9476291376;96.165987802;604900808.42;6749500613.23;70185943.78;"2022-04-30T23:59:59.999Z"
"2022-04-29T00:00:00.000Z";"2022-04-29T23:59:59.999Z";"2022-04-29T02:01:00.000Z";"2022-04-29T19:56:00.000Z";"2781";103.3186185752;104.023213516;99.038844961;100.3780074752;861249271.24;7044371099.42;70178431.28;"2022-04-29T23:59:59.999Z"
"2022-04-28T00:00:00.000Z";"2022-04-28T23:59:59.999Z";"2022-04-28T18:31:00.000Z";"2022-04-28T05:51:00.000Z";"2781";100.5424098497;104.0937002925;100.009482912;103.3233522928;780434504.63;7250308768.56;70171056.28;"2022-04-28T23:59:59.999Z"
"2022-04-27T00:00:00.000Z";"2022-04-27T23:59:59.999Z";"2022-04-27T13:53:00.000Z";"2022-04-27T00:49:00.000Z";"2781";98.4131683601;101.7441035997;98.223729351;100.5387614066;692599516.3;7054133166.11;70163318.78;"2022-04-27T23:59:59.999Z"
"2022-04-26T00:00:00.000Z";"2022-04-26T23:59:59.999Z";"2022-04-26T00:40:00.000Z";"2022-04-26T23:22:00.000Z";"2781";104.6710691649;105.1731973923;97.5908023658;98.404682495;702800417.67;6903743485.95;70156656.28;"2022-04-26T23:59:59.999Z"
"2022-04-25T00:00:00.000Z";"2022-04-25T23:59:59.999Z";"2022-04-25T23:25:00.000Z";"2022-04-25T07:07:00.000Z";"2781";104.6203968185;104.7566824881;99.5107601089;104.6870167663;802054035.72;7343716368.12;70149256.28;"2022-04-25T23:59:59.999Z"
"2022-04-24T00:00:00.000Z";"2022-04-24T23:59:59.999Z";"2022-04-24T00:35:00.000Z";"2022-04-24T18:04:00.000Z";"2781";105.4924641;105.9308362298;104.1066284427;104.622604936;487505920.62;7338396255.41;70141593.78;"2022-04-24T23:59:59.999Z"
"2022-04-23T00:00:00.000Z";"2022-04-23T23:59:59.999Z";"2022-04-23T08:51:00.000Z";"2022-04-23T03:49:00.000Z";"2781";105.6020634247;107.1333256434;105.3164817978;105.5043730266;502713461.3;7399502387.6;70134556.28;"2022-04-23T23:59:59.999Z"
"2022-04-22T00:00:00.000Z";"2022-04-22T23:59:59.999Z";"2022-04-22T07:49:00.000Z";"2022-04-22T22:10:00.000Z";"2781";106.9968871139;108.3449041155;105.5461037647;105.6006263111;668097133.39;7405504624.57;70127468.78;"2022-04-22T23:59:59.999Z"
"2022-04-21T00:00:00.000Z";"2022-04-21T23:59:59.999Z";"2022-04-21T13:40:00.000Z";"2022-04-21T22:35:00.000Z";"2781";111.9753294339;114.2201500103;106.3016365366;106.9979853791;747220318.08;7502723481.06;70120231.28;"2022-04-21T23:59:59.999Z"
